Year,Month,Marsh,Cage,Treatment,Plant,Final.Mass
2019,September,BOL,17,ambient,Pickleweed,16.93
2019,September,BOL,18,ncc,Pickleweed,20.46
2019,September,BOL,19,cc,Pickleweed,34.45
2019,September,BOL,20,high,Pickleweed,17.37
2019,September,BOL,21,ambient,Pickleweed,23.84
2019,September,BOL,22,ncc,Pickleweed,49.69
2019,September,BOL,23,no,Pickleweed,30.99
2019,September,BOL,24,ncc,Pickleweed,31.05
2019,September,BOL,25,cc,Pickleweed,25.95
2019,September,BOL,1,ncc,Unknown,57.71
2019,September,BOL,2,no,Unknown,44.39
2019,September,BOL,3,high,Unknown,65.83
2019,September,BOL,4,ambient,Unknown,45.51
2019,September,BOL,5,cc,Unknown,53.21
2019,September,BOL,6,high,Unknown,45
2019,September,BOL,7,high,Unknown,47.74
2019,September,BOL,8,ambient,Unknown,36.07
2019,September,BOL,9,cc,Unknown,54.97
2019,September,BOL,10,ambient,Unknown,39.63
2019,September,BOL,11,ncc,Unknown,44.8
2019,September,BOL,12,no,Unknown,54.55
2019,September,BOL,13,high,Unknown,43.4
2019,September,BOL,14,no,Unknown,34.25
2019,September,BOL,15,cc,Unknown,35.46
2019,September,BOL,16,no,Unknown,62.17
2019,September,BOL,17,ambient,Unknown,36.8
2019,September,BOL,18,ncc,Unknown,41.12
2019,September,BOL,19,cc,Unknown,36.08
2019,September,BOL,20,high,Unknown,33.8
2019,September,BOL,21,ambient,Unknown,41.29
2019,September,BOL,22,ncc,Unknown,59.43
2019,September,BOL,23,no,Unknown,18.4
2019,September,BOL,24,ncc,Unknown,46.5
2019,September,BOL,25,cc,Unknown,51.65
2019,September,BOD,26,no,Cordgrass,0
2019,September,BOD,27,high,Cordgrass,107
2019,September,BOD,28,ambient,Cordgrass,43.61
2019,September,BOD,29,ncc,Cordgrass,16.02
2019,September,BOD,30,cc,Cordgrass,186.98
2019,September,BOD,31,high,Cordgrass,16.58
2019,September,BOD,32,no,Cordgrass,181.96
2019,September,BOD,33,ambient,Cordgrass,53.44
2019,September,BOD,34,cc,Cordgrass,0
2019,September,BOD,35,ncc,Cordgrass,32.93
2019,September,BOD,36,high,Cordgrass,36.48
2019,September,BOD,37,no,Cordgrass,44.91
2019,September,BOD,38,ncc,Cordgrass,74.96
2019,September,BOD,39,ambient,Cordgrass,68.09
2019,September,BOD,40,ncc,Cordgrass,48.56
2019,September,BOD,41,cc,Cordgrass,23.48
2019,September,BOD,42,no,Cordgrass,66.22
2019,September,BOD,43,high,Cordgrass,22.19
2019,September,BOD,44,ambient,Cordgrass,49.1
2019,September,BOD,45,cc,Cordgrass,87.56
2019,September,BOD,26,no,Pickleweed,190.36
2019,September,BOD,27,high,Pickleweed,9.03
2019,September,BOD,28,ambient,Pickleweed,174.51
2019,September,BOD,29,ncc,Pickleweed,13.4
2019,September,BOD,30,cc,Pickleweed,88.57
2019,September,BOD,31,high,Pickleweed,594.95
2019,September,BOD,32,no,Pickleweed,11.23
2019,September,BOD,33,ambient,Pickleweed,268.02
2019,September,BOD,34,cc,Pickleweed,12.12
2019,September,BOD,35,ncc,Pickleweed,99.37
2019,September,BOD,36,high,Pickleweed,0
2019,September,BOD,37,no,Pickleweed,12
2019,September,BOD,38,ncc,Pickleweed,9.53
2019,September,BOD,39,ambient,Pickleweed,0
2019,September,BOD,40,ncc,Pickleweed,35.38
2019,September,BOD,41,cc,Pickleweed,179.39
2019,September,BOD,42,no,Pickleweed,38.52
2019,September,BOD,43,high,Pickleweed,11.38
2019,September,BOD,44,ambient,Pickleweed,31.39
2019,September,BOD,45,cc,Pickleweed,122.04
2019,September,BOD,26,no,Unknown,84.28
2019,September,BOD,27,high,Unknown,36.78
2019,September,BOD,28,ambient,Unknown,122.41
2019,September,BOD,29,ncc,Unknown,74.37
2019,September,BOD,30,cc,Unknown,123.54
2019,September,BOD,31,high,Unknown,207.61
2019,September,BOD,32,no,Unknown,17.93
2019,September,BOD,33,ambient,Unknown,45.27
2019,September,BOD,34,cc,Unknown,194.41
2019,September,BOD,35,ncc,Unknown,62.14
2019,September,BOD,36,high,Unknown,50.42
2019,September,BOD,37,no,Unknown,63.54
2019,September,BOD,38,ncc,Unknown,36.15
2019,September,BOD,39,ambient,Unknown,0
2019,September,BOD,40,ncc,Unknown,18.93
2019,September,BOD,41,cc,Unknown,63.7
2019,September,BOD,42,no,Unknown,23.14
2019,September,BOD,43,high,Unknown,51.25
2019,September,BOD,44,ambient,Unknown,17.19
2019,September,BOD,45,cc,Unknown,28.94
2019,September,TOM,51,ambient,Cordgrass,28.8
2019,September,TOM,52,ncc,Cordgrass,18.27
2019,September,TOM,53,cc,Cordgrass,34.11
2019,September,TOM,54,high,Cordgrass,71.58
2019,September,TOM,55,no,Cordgrass,37.93
2019,September,TOM,56,cc,Cordgrass,61.79
2019,September,TOM,57,high,Cordgrass,22.59
2019,September,TOM,58,ncc,Cordgrass,38.95
2019,September,TOM,59,no,Cordgrass,23.56
2019,September,TOM,60,ambient,Cordgrass,20.88
2019,September,TOM,61,high,Cordgrass,22.45
2019,September,TOM,62,ncc,Cordgrass,25.59
2019,September,TOM,63,no,Cordgrass,20.7
2019,September,TOM,64,ambient,Cordgrass,15.67
2019,September,TOM,65,cc,Cordgrass,10.38
2019,September,TOM,66,no,Cordgrass,26.1
2019,September,TOM,67,ambient,Cordgrass,17.8
2019,September,TOM,68,cc,Cordgrass,27.65
2019,September,TOM,69,ncc,Cordgrass,17.01
2019,September,TOM,70,high,Cordgrass,26.56
2019,September,TOM,71,ambient,Cordgrass,23.06
2019,September,TOM,72,ncc,Cordgrass,37.48
2019,September,TOM,73,cc,Cordgrass,65
2019,September,TOM,74,high,Cordgrass,24.49
2019,September,TOM,75,no,Cordgrass,17.8
2019,September,TOM,51,ambient,Pickleweed,18.96
2019,September,TOM,52,ncc,Pickleweed,38.24
2019,September,TOM,53,cc,Pickleweed,14.79
2019,September,TOM,54,high,Pickleweed,36.88
2019,September,TOM,55,no,Pickleweed,18.27
2019,September,TOM,56,cc,Pickleweed,17.63
2019,September,TOM,57,high,Pickleweed,15.09
2019,September,TOM,58,ncc,Pickleweed,9.5
2019,September,TOM,59,no,Pickleweed,31.11
2019,September,TOM,60,ambient,Pickleweed,33.92
2019,September,TOM,61,high,Pickleweed,15.76
2019,September,TOM,62,ncc,Pickleweed,24.28
2019,September,TOM,63,no,Pickleweed,23.31
2019,September,TOM,64,ambient,Pickleweed,27.19
2019,September,TOM,65,cc,Pickleweed,18.58
2019,September,TOM,66,no,Pickleweed,47.31
2019,September,TOM,67,ambient,Pickleweed,29.5
2019,September,TOM,68,cc,Pickleweed,15.82
2019,September,TOM,69,ncc,Pickleweed,33.48
2019,September,TOM,70,high,Pickleweed,12.71
2019,September,TOM,71,ambient,Pickleweed,10.22
2019,September,TOM,72,ncc,Pickleweed,9.5
2019,September,TOM,73,cc,Pickleweed,26.07
2019,September,TOM,74,high,Pickleweed,56.82
2019,September,TOM,75,no,Pickleweed,9.93
2019,September,TOM,51,ambient,Unknown,99.61
2019,September,TOM,52,ncc,Unknown,60.03
2019,September,TOM,53,cc,Unknown,30.47
2019,September,TOM,54,high,Unknown,24.75
2019,September,TOM,55,no,Unknown,17.6
2019,September,TOM,56,cc,Unknown,47.04
2019,September,TOM,57,high,Unknown,37.97
2019,September,TOM,58,ncc,Unknown,19.97
2019,September,TOM,59,no,Unknown,67.5
2019,September,TOM,60,ambient,Unknown,23.22
2019,September,TOM,61,high,Unknown,24.88
2019,September,TOM,62,ncc,Unknown,54.18
2019,September,TOM,63,no,Unknown,29.17
2019,September,TOM,64,ambient,Unknown,46.37
2019,September,TOM,65,cc,Unknown,26.24
2019,September,TOM,66,no,Unknown,109.99
2019,September,TOM,67,ambient,Unknown,45.71
2019,September,TOM,68,cc,Unknown,41.21
2019,September,TOM,69,ncc,Unknown,55.09
2019,September,TOM,70,high,Unknown,37.45
2019,September,TOM,71,ambient,Unknown,36.12
2019,September,TOM,72,ncc,Unknown,56.15
2019,September,TOM,73,cc,Unknown,32.21
2019,September,TOM,74,high,Unknown,37.24
2019,September,TOM,75,no,Unknown,19.64
