Year,Month,Day,Marsh,Zone,Cage,Treatment,Stems(all),Stems(live),Stems(dead),Flowers,Pickle_CH_Avg,Spartina_L,Spartina_D,Mud,Sarcocornia,Salicornia,Batis,Jaumea,Triglochin,Unknown,Wrack,Not_visible
2016,May,25,KF2,reg,17,ambient,64,NA,NA,0,38.75,18,13,19,44,0,6,0,0,0,0,0
2016,May,25,KF2,reg,18,no,57,NA,NA,0,40.25,25,1,3,50,0,14,4,3,0,0,0
2016,May,25,KF2,reg,19,ambient,84,NA,NA,0,32,35,22,19,21,0,3,0,0,0,0,0
2016,May,25,KF2,reg,20,ambient,67,NA,NA,0,41.15,26,15,14,36,0,9,0,0,0,0,0
2016,May,25,KF2,reg,C,cc,81,NA,NA,0,45.05,39,8,10,18,0,25,0,0,0,0,0
2016,May,25,KF2,reg,D,cc,92,NA,NA,0,31.8,27,9,8,27,0,29,0,0,0,0,0
2016,May,13,SDL,hi,21,no,NA,NA,NA,NA,11.5,0,0,27,73,0,0,0,0,0,0,0
2016,May,13,SDL,hi,22,no,NA,NA,NA,NA,13.1,0,0,28,72,0,0,0,0,0,0,0
2016,May,13,SDL,hi,23,ambient,NA,NA,NA,NA,19.5,0,0,17,83,0,0,0,0,0,0,0
2016,May,13,SDL,hi,24,no,NA,NA,NA,NA,18.05,0,0,12,88,0,0,0,0,0,0,0
2016,May,13,SDL,hi,25,ambient,NA,NA,NA,NA,25.7,0,0,0,100,0,0,0,0,0,0,0
2016,May,13,SDL,hi,26,ambient,NA,NA,NA,NA,37.4,0,0,20,80,0,0,0,0,0,0,0
2016,May,13,SDL,hi,27,no,NA,NA,NA,NA,34.6,0,0,6,94,0,0,0,0,0,0,0
2016,May,13,SDL,hi,28,no,NA,NA,NA,NA,34.4,0,0,2,98,0,0,0,0,0,0,0
2016,May,13,SDL,hi,29,ambient,NA,NA,NA,NA,36.8,0,0,11,89,0,0,0,0,0,0,0
2016,May,13,SDL,hi,30,ambient,NA,NA,NA,NA,30.2,0,0,16,84,0,0,0,0,0,0,0
2016,May,13,SDL,hi,E,cc,NA,NA,NA,NA,22.4,0,0,21,79,0,0,0,0,0,0,0
2016,May,13,SDL,hi,F,cc,NA,NA,NA,NA,26.3,0,0,17,75,0,0,8,0,0,0,0
2016,May,13,SDL,lo,41,no,38,NA,NA,0,NA,40,45,15,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,42,no,57,NA,NA,0,NA,28,46,25,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,43,ambient,53,NA,NA,0,NA,31,29,41,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,44,ambient,31,NA,NA,0,NA,30,27,42,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,45,ambient,32,NA,NA,0,NA,27,31,43,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,46,no,28,NA,NA,0,NA,17,50,33,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,47,ambient,49,NA,NA,0,NA,46,22,33,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,48,no,58,NA,NA,0,NA,50,19,29,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,49,no,31,NA,NA,0,NA,36,32,33,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,50,ambient,33,NA,NA,0,NA,30,37,33,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,I,cc,40,NA,NA,0,NA,46,25,29,0,0,0,0,0,0,0,0
2016,May,13,SDL,lo,J,cc,37,NA,NA,0,NA,51,15,34,0,0,0,0,0,0,0,0
2016,May,13,SDL,mid,31,ambient,7,NA,NA,0,46.3,27,18,12,42,0,0,0,0,0,0,0
2016,May,13,SDL,mid,32,no,37,NA,NA,0,43.1,42,4,30,24,0,0,0,0,0,0,0
2016,May,13,SDL,mid,33,no,24,NA,NA,0,41.2,30,20,27,23,0,0,0,0,0,0,0
2016,May,13,SDL,mid,34,ambient,15,NA,NA,0,46,20,3,24,50,0,0,0,0,0,0,0
2016,May,13,SDL,mid,35,ambient,21,NA,NA,0,41.95,20,16,15,49,0,0,0,0,0,0,0
2016,May,13,SDL,mid,36,no,23,NA,NA,0,25.9,51,5,9,35,0,0,0,0,0,0,0
2016,May,13,SDL,mid,37,ambient,17,NA,NA,0,39.45,24,5,11,58,0,0,0,0,0,0,0
2016,May,13,SDL,mid,38,no,32,NA,NA,0,39.2,28,24,19,30,0,0,0,0,0,0,0
2016,May,13,SDL,mid,39,ambient,42,NA,NA,0,42.15,46,24,13,17,0,0,0,0,0,0,0
2016,May,13,SDL,mid,40,no,22,NA,NA,0,51.5,25,0,25,48,0,0,0,0,0,0,0
2016,May,13,SDL,mid,G,cc,16,NA,NA,0,31.6,13,32,18,37,0,0,0,0,0,0,0
2016,May,13,SDL,mid,H,cc,28,NA,NA,0,31,24,32,25,20,0,0,0,0,0,0,0
2016,June,23,KF1,reg,1,ambient,59,NA,NA,0,43.9,48,12,10,30,0,0,0,0,0,0,0
2016,June,23,KF1,reg,2,ambient,70,NA,NA,0,29.8,38,13,14,35,0,0,0,0,0,0,0
2016,June,23,KF1,reg,3,no,96,NA,NA,0,36.6,52,11,12,24,0,1,0,0,0,0,0
2016,June,23,KF1,reg,4,ambient,38,NA,NA,0,37.4,17,9,16,48,0,0,0,0,0,0,0
2016,June,23,KF1,reg,5,no,61,NA,NA,0,31.3,22,14,16,23,0,26,0,0,0,0,0
2016,June,23,KF1,reg,6,no,52,NA,NA,0,39.65,31,3,8,33,0,24,0,0,0,0,0
2016,June,23,KF1,reg,7,ambient,48,NA,NA,0,28.95,27,5,5,57,0,5,0,0,0,0,0
2016,June,23,KF1,reg,8,ambient,54,NA,NA,0,39.85,41,5,10,39,0,5,1,0,0,0,0
2016,June,23,KF1,reg,9,no,67,NA,NA,0,36.65,42,10,9,31,0,8,0,0,0,0,0
2016,June,23,KF1,reg,10,no,92,NA,NA,0,35.75,59,4,6,27,0,3,0,0,0,0,0
2016,June,23,KF1,reg,A,cc,72,NA,NA,0,33.5,55,6,9,22,0,9,0,0,0,0,0
2016,June,23,KF1,reg,B,cc,40,NA,NA,0,28.8,31,15,16,35,0,3,0,0,0,0,0
2016,June,23,KF2,reg,11,ambient,64,NA,NA,0,38.1,56,10,19,14,1,0,0,0,0,0,0
2016,June,23,KF2,reg,12,no,48,NA,NA,0,45.25,39,13,11,34,0,3,0,0,0,0,0
2016,June,23,KF2,reg,13,no,41,NA,NA,0,44.35,29,15,13,36,0,6,1,0,1,0,0
2016,June,23,KF2,reg,14,no,55,NA,NA,0,39.45,43,9,30,17,0,0,0,0,0,0,0
2016,June,23,KF2,reg,15,ambient,55,NA,NA,0,51.2,36,13,9,28,6,8,0,0,0,0,0
2016,June,23,KF2,reg,16,no,92,NA,NA,0,36.45,50,10,18,21,0,0,0,0,0,0,0
2016,June,23,KF2,reg,17,ambient,42,NA,NA,0,46.5,29,4,14,53,0,1,0,0,0,0,0
2016,June,23,KF2,reg,18,no,26,NA,NA,0,43.2,26,2,2,43,0,9,14,4,0,0,0
2016,June,23,KF2,reg,19,ambient,64,NA,NA,0,42.2,31,18,26,19,0,5,0,0,0,0,0
2016,June,23,KF2,reg,20,ambient,66,NA,NA,0,44.45,28,19,11,32,0,9,0,0,0,0,0
2016,June,23,KF2,reg,C,cc,46,NA,NA,0,47.65,54,7,7,14,0,18,0,0,0,0,0
2016,June,23,KF2,reg,D,cc,46,NA,NA,0,38.5,42,0,9,32,0,17,0,0,0,0,0
2016,June,7,SDL,hi,21,no,NA,NA,NA,NA,16.2,0,0,27,73,0,0,0,0,0,0,0
2016,June,7,SDL,hi,22,no,NA,NA,NA,NA,17.3,0,0,35,65,0,0,0,0,0,0,0
2016,June,7,SDL,hi,23,ambient,NA,NA,NA,NA,18.6,0,1,12,87,0,0,0,0,0,0,0
2016,June,7,SDL,hi,24,no,NA,NA,NA,NA,16.35,0,0,9,91,0,0,0,0,0,0,0
2016,June,7,SDL,hi,25,ambient,NA,NA,NA,NA,25.1,0,0,12,88,0,0,0,0,0,0,0
2016,June,7,SDL,hi,26,ambient,NA,NA,NA,NA,40.3,0,0,20,80,0,0,0,0,0,0,0
2016,June,7,SDL,hi,27,no,NA,NA,NA,NA,35.4,0,0,15,85,0,0,0,0,0,0,0
2016,June,7,SDL,hi,28,no,NA,NA,NA,NA,35.2,0,0,6,94,0,0,0,0,0,0,0
2016,June,7,SDL,hi,29,ambient,NA,NA,NA,NA,38.6,0,0,21,79,0,0,0,0,0,0,0
2016,June,7,SDL,hi,30,ambient,NA,NA,NA,NA,39,0,0,14,86,0,0,0,0,0,0,0
2016,June,7,SDL,hi,E,cc,NA,NA,NA,NA,23.3,0,0,16,84,0,0,0,0,0,0,0
2016,June,7,SDL,hi,F,cc,NA,NA,NA,NA,18.6,0,0,28,66,0,0,6,0,0,0,0
2016,June,7,SDL,lo,41,no,73,NA,NA,0,NA,66,16,18,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,42,no,81,NA,NA,0,NA,47,34,20,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,43,ambient,68,NA,NA,0,NA,55,19,26,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,44,ambient,48,NA,NA,0,NA,40,23,37,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,45,ambient,46,NA,NA,0,NA,39,25,35,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,46,no,32,NA,NA,0,NA,25,42,32,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,47,ambient,62,NA,NA,0,NA,43,20,37,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,48,no,66,NA,NA,0,NA,63,26,12,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,49,no,63,NA,NA,0,NA,50,31,20,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,50,ambient,53,NA,NA,0,NA,36,33,30,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,I,cc,68,NA,NA,0,NA,55,21,22,0,0,0,0,0,0,0,0
2016,June,7,SDL,lo,J,cc,71,NA,NA,0,NA,59,16,25,0,0,0,0,0,0,0,0
2016,June,7,SDL,mid,31,ambient,52,NA,NA,0,42.05,26,14,14,46,0,0,0,0,0,0,0
2016,June,7,SDL,mid,32,no,42,NA,NA,0,41.55,62,7,9,21,0,0,0,0,0,0,0
2016,June,7,SDL,mid,33,no,37,NA,NA,0,37.3,44,10,33,14,0,0,0,0,0,0,0
2016,June,7,SDL,mid,34,ambient,21,NA,NA,0,50,32,2,24,43,0,0,0,0,0,0,0
2016,June,7,SDL,mid,35,ambient,25,NA,NA,0,44.55,30,8,20,43,0,0,0,0,0,0,0
2016,June,7,SDL,mid,36,no,28,NA,NA,0,33,46,16,17,20,0,0,0,0,0,0,0
2016,June,7,SDL,mid,37,ambient,21,NA,NA,0,46.25,21,10,20,49,0,0,0,0,0,0,0
2016,June,7,SDL,mid,38,no,44,NA,NA,0,42.75,41,18,13,29,0,0,0,0,0,0,0
2016,June,7,SDL,mid,39,ambient,61,NA,NA,0,44.1,56,20,8,17,0,0,0,0,0,0,0
2016,June,7,SDL,mid,40,no,32,NA,NA,0,52.15,21,8,29,40,0,0,0,0,0,0,0
2016,June,7,SDL,mid,G,cc,22,NA,NA,0,38.4,8,17,33,42,0,0,0,0,0,0,0
2016,June,7,SDL,mid,H,cc,31,NA,NA,0,40.55,31,23,20,26,0,0,0,0,0,0,0
2016,July,21,KF1,reg,1,ambient,45,NA,NA,0,36.25,42,21,8,29,0,0,0,0,0,0,0
2016,July,21,KF1,reg,2,ambient,61,NA,NA,0,39.15,28,9,10,52,0,0,0,0,0,0,0
2016,July,21,KF1,reg,3,no,93,NA,NA,0,35.05,52,3,8,37,0,1,0,0,0,0,0
2016,July,21,KF1,reg,4,ambient,31,NA,NA,0,33.1,21,6,15,56,0,0,0,0,0,0,0
2016,July,21,KF1,reg,5,no,76,NA,NA,0,31.5,18,12,15,25,0,28,0,0,0,0,0
2016,July,21,KF1,reg,6,no,39,NA,NA,0,39.35,26,7,4,40,0,21,0,0,0,0,0
2016,July,21,KF1,reg,7,ambient,54,NA,NA,0,36.65,23,10,6,52,0,9,0,0,0,0,0
2016,July,21,KF1,reg,8,ambient,48,NA,NA,0,42.95,34,5,5,39,0,16,0,0,0,0,0
2016,July,21,KF1,reg,9,no,53,NA,NA,0,44.95,30,19,8,28,0,13,0,0,0,0,0
2016,July,21,KF1,reg,10,no,78,NA,NA,0,39.1,52,13,16,18,0,1,0,0,0,0,0
2016,July,21,KF1,reg,A,cc,68,NA,NA,0,34.7,54,6,8,16,0,16,0,0,0,0,0
2016,July,21,KF1,reg,B,cc,36,NA,NA,0,31.75,22,30,13,32,0,2,0,0,0,0,0
2016,July,21,KF2,reg,11,ambient,49,NA,NA,0,39.3,32,24,26,18,0,0,0,0,0,0,0
2016,July,21,KF2,reg,12,no,51,NA,NA,0,43.65,31,24,16,26,0,1,0,0,0,0,0
2016,July,21,KF2,reg,13,no,49,NA,NA,0,44.2,11,30,13,33,0,7,1,0,0,0,0
2016,July,21,KF2,reg,14,no,66,NA,NA,0,45.8,30,15,34,20,0,0,0,0,0,0,0
2016,July,21,KF2,reg,15,ambient,76,NA,NA,0,51.45,22,13,18,39,0,7,0,0,0,0,0
2016,July,21,KF2,reg,16,no,89,NA,NA,0,44.25,42,17,28,13,0,0,0,0,0,0,0
2016,July,21,KF2,reg,17,ambient,56,NA,NA,0,48.65,36,14,2,48,0,0,0,0,0,0,0
2016,July,21,KF2,reg,18,no,23,NA,NA,0,43.45,29,14,0,48,0,6,3,0,0,0,0
2016,July,21,KF2,reg,19,ambient,65,NA,NA,0,42.3,30,29,9,29,0,3,0,0,0,0,0
2016,July,21,KF2,reg,20,ambient,77,NA,NA,0,48.65,45,10,1,41,0,3,0,0,0,0,0
2016,July,21,KF2,reg,C,cc,67,NA,NA,0,48.15,29,20,15,16,0,16,0,0,0,0,0
2016,July,21,KF2,reg,D,cc,84,NA,NA,0,46.45,65,11,0,16,0,8,0,0,0,0,0
2016,July,6,SDL,hi,21,no,NA,NA,NA,NA,16.3,0,0,31,69,0,0,0,0,0,0,0
2016,July,6,SDL,hi,22,no,NA,NA,NA,NA,14.2,0,0,20,80,0,0,0,0,0,0,0
2016,July,6,SDL,hi,23,ambient,NA,NA,NA,NA,24.2,0,0,6,94,0,0,0,0,0,0,0
2016,July,6,SDL,hi,24,no,NA,NA,NA,NA,16.7,0,0,3,97,0,0,0,0,0,0,0
2016,July,6,SDL,hi,25,ambient,NA,NA,NA,NA,31.8,0,0,2,98,0,0,0,0,0,0,0
2016,July,6,SDL,hi,26,ambient,NA,NA,NA,NA,43.4,0,0,3,97,0,0,0,0,0,0,0
2016,July,6,SDL,hi,27,no,NA,NA,NA,NA,36.65,0,0,4,96,0,0,0,0,0,0,0
2016,July,6,SDL,hi,28,no,NA,NA,NA,NA,36.2,0,0,2,98,0,0,0,0,0,0,0
2016,July,6,SDL,hi,29,ambient,NA,NA,NA,NA,28.65,0,0,6,94,0,0,0,0,0,0,0
2016,July,6,SDL,hi,30,ambient,NA,NA,NA,NA,45.4,0,0,15,85,0,0,0,0,0,0,0
2016,July,6,SDL,hi,E,cc,NA,NA,NA,NA,23.3,0,0,3,97,0,0,0,0,0,0,0
2016,July,6,SDL,hi,F,cc,NA,NA,NA,NA,28.5,0,0,6,94,0,0,0,0,0,0,0
2016,July,6,SDL,lo,41,no,73,NA,NA,0,NA,46,6,48,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,42,no,84,NA,NA,0,NA,54,3,42,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,43,ambient,71,NA,NA,0,NA,45,0,55,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,44,ambient,46,NA,NA,0,NA,52,4,44,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,45,ambient,53,NA,NA,0,NA,43,7,50,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,46,no,42,NA,NA,0,NA,41,8,51,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,47,ambient,61,NA,NA,0,NA,55,1,44,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,48,no,70,NA,NA,0,NA,68,0,32,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,49,no,67,NA,NA,0,NA,48,0,52,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,50,ambient,61,NA,NA,0,NA,43,5,52,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,I,cc,61,NA,NA,0,NA,70,2,28,0,0,0,0,0,0,0,0
2016,July,6,SDL,lo,J,cc,119,NA,NA,0,NA,61,0,39,0,0,0,0,0,0,0,0
2016,July,6,SDL,mid,31,ambient,41,NA,NA,0,42,34,10,12,44,0,0,0,0,0,0,0
2016,July,6,SDL,mid,32,no,42,NA,NA,4,36.95,59,2,16,23,0,0,0,0,0,0,0
2016,July,6,SDL,mid,33,no,37,NA,NA,2,42.6,52,9,19,22,0,0,0,0,0,0,0
2016,July,6,SDL,mid,34,ambient,27,NA,NA,0,64.8,44,1,15,41,0,0,0,0,0,0,0
2016,July,6,SDL,mid,35,ambient,38,NA,NA,4,39.8,27,8,16,48,0,0,0,0,0,0,0
2016,July,6,SDL,mid,36,no,41,NA,NA,0,24.75,59,0,13,28,0,0,0,0,0,0,0
2016,July,6,SDL,mid,37,ambient,25,NA,NA,0,44.65,36,0,17,47,0,0,0,0,0,0,0
2016,July,6,SDL,mid,38,no,30,NA,NA,0,35.35,24,9,39,28,0,0,0,0,0,0,0
2016,July,6,SDL,mid,39,ambient,34,NA,NA,0,36.4,35,10,28,27,0,0,0,0,0,0,0
2016,July,6,SDL,mid,40,no,41,NA,NA,0,52.7,26,3,27,44,0,0,0,0,0,0,0
2016,July,6,SDL,mid,G,cc,19,NA,NA,0,49.5,12,13,37,38,0,0,0,0,0,0,0
2016,July,6,SDL,mid,H,cc,49,NA,NA,0,20.6,38,13,35,14,0,0,0,0,0,0,0
2016,August,16,KF1,reg,1,ambient,34,NA,NA,0,38.05,29,6,16,48,0,0,0,0,0,0,0
2016,August,16,KF1,reg,2,ambient,68,NA,NA,0,39.4,32,3,16,49,0,0,0,0,0,0,0
2016,August,16,KF1,reg,3,no,104,NA,NA,0,31.75,48,1,13,34,0,2,0,0,0,0,0
2016,August,16,KF1,reg,4,ambient,49,NA,NA,0,36.85,27,0,19,52,0,0,0,0,0,0,0
2016,August,16,KF1,reg,5,no,63,NA,NA,0,37.05,29,0,16,33,0,21,0,0,0,0,0
2016,August,16,KF1,reg,6,no,44,NA,NA,0,43.2,24,0,10,42,0,23,1,0,0,0,0
2016,August,16,KF1,reg,7,ambient,61,NA,NA,0,40.1,22,2,9,56,0,9,0,0,0,0,0
2016,August,16,KF1,reg,8,ambient,NA,NA,NA,NA,38.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,August,16,KF1,reg,9,no,71,NA,NA,0,38.15,39,4,11,37,0,9,0,0,0,0,0
2016,August,16,KF1,reg,10,no,86,NA,NA,0,36.95,58,3,8,30,0,1,0,0,0,0,0
2016,August,16,KF1,reg,A,cc,59,NA,NA,2,32.1,48,5,11,23,0,13,0,0,0,0,0
2016,August,16,KF1,reg,B,cc,61,NA,NA,0,35.15,24,5,18,52,0,1,0,0,0,0,0
2016,August,16,KF2,reg,11,ambient,70,NA,NA,1,41.45,57,8,21,14,0,0,0,0,0,0,0
2016,August,16,KF2,reg,12,no,67,NA,NA,0,46.75,37,8,10,42,0,3,0,0,0,0,0
2016,August,16,KF2,reg,13,no,34,NA,NA,0,47.2,17,17,10,43,0,12,1,0,0,0,0
2016,August,16,KF2,reg,14,no,91,NA,NA,1,42.2,43,8,16,33,0,0,0,0,0,0,0
2016,August,16,KF2,reg,15,ambient,61,NA,NA,2,61.75,29,3,17,39,4,6,0,0,0,0,0
2016,August,16,KF2,reg,16,no,123,NA,NA,7,44.65,53,7,19,21,0,0,0,0,0,0,0
2016,August,16,KF2,reg,17,ambient,62,NA,NA,1,46.2,29,9,9,49,0,3,0,0,0,0,0
2016,August,16,KF2,reg,18,no,22,NA,NA,NA,41.85,14,12,5,50,0,2,14,2,0,0,0
2016,August,16,KF2,reg,19,ambient,37,NA,NA,3,43.95,17,17,28,35,0,2,0,0,0,0,0
2016,August,16,KF2,reg,20,ambient,72,NA,NA,4,50.4,41,13,18,25,0,2,0,0,0,0,0
2016,August,16,KF2,reg,C,cc,65,NA,NA,2,50.75,42,6,8,34,0,10,0,0,0,0,0
2016,August,16,KF2,reg,D,cc,74,NA,NA,4,46,32,20,11,25,0,12,0,0,0,0,0
2016,August,2,SDL,hi,21,no,NA,NA,NA,NA,23.2,0,0,12,88,0,0,0,0,0,0,0
2016,August,2,SDL,hi,22,no,NA,NA,NA,NA,15.4,0,0,12,88,0,0,0,0,0,0,0
2016,August,2,SDL,hi,23,ambient,NA,NA,NA,NA,24.2,0,0,7,93,0,0,0,0,0,0,0
2016,August,2,SDL,hi,24,no,NA,NA,NA,NA,23.3,0,0,18,82,0,0,0,0,0,0,0
2016,August,2,SDL,hi,25,ambient,NA,NA,NA,NA,34.3,0,0,10,90,0,0,0,0,0,0,0
2016,August,2,SDL,hi,26,ambient,NA,NA,NA,NA,41.1,0,0,17,83,0,0,0,0,0,0,0
2016,August,2,SDL,hi,27,no,NA,NA,NA,NA,35.1,0,0,13,87,0,0,0,0,0,0,0
2016,August,2,SDL,hi,28,no,NA,NA,NA,NA,35.1,0,0,6,94,0,0,0,0,0,0,0
2016,August,2,SDL,hi,29,ambient,NA,NA,NA,NA,40.6,0,0,8,92,0,0,0,0,0,0,0
2016,August,2,SDL,hi,30,ambient,NA,NA,NA,NA,40.2,0,0,9,91,0,0,0,0,0,0,0
2016,August,2,SDL,hi,E,cc,NA,NA,NA,NA,34.4,0,0,28,72,0,0,0,0,0,0,0
2016,August,2,SDL,hi,F,cc,NA,NA,NA,NA,34.2,0,0,25,74,0,0,1,0,0,0,0
2016,August,2,SDL,lo,41,no,68,NA,NA,4,NA,62,5,34,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,42,no,77,NA,NA,3,NA,58,10,32,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,43,ambient,61,NA,NA,1,NA,48,14,38,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,44,ambient,49,NA,NA,0,NA,54,14,32,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,45,ambient,54,NA,NA,1,NA,44,15,41,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,46,no,37,NA,NA,1,NA,33,24,42,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,47,ambient,61,NA,NA,0,NA,61,13,26,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,48,no,91,NA,NA,1,NA,84,4,13,0,0,0,0,0,0,0,0
2016,August,2,SDL,lo,49,no,72,NA,NA,1,NA,64,16,20,0,0,0,0,0,0,0,0
