Year,Month,Day,Marsh,Zone,Cage,Treatment,Burrows,Pachy,Hemi,Fiddler,Green,Pitfall,Pitfall-F,Pitfall-P,Pitfall-G,Pitfall-H
2018,June,6,BOD,reg,36,high,16,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,37,no,1,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,38,ncc,3,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,39,ambient,15,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,40,ncc,0,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,41,cc,8,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,42,no,1,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,43,high,15,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,44,ambient,16,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,45,cc,5,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,46,ambient,6,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,47,high,7,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,48,cc,destroyed,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,49,no,destroyed,0,0,0,0,NA,NA,NA,NA,NA
2018,June,6,BOD,reg,50,cc,destroyed,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,26,no,9,0,0,0,0,0,NA,NA,NA,NA
2018,April,7,BOD,reg,27,high,8,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,28,ambient,11,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,29,ncc,5,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,30,cc,8,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,31,high,9,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,32,no,5,1,0,0,0,0,NA,NA,NA,NA
2018,April,7,BOD,reg,33,ambient,4,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,34,cc,8,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,35,ncc,12,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,36,high,18,2,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,37,no,1,1,0,0,0,0,NA,NA,NA,NA
2018,April,7,BOD,reg,38,ncc,21,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,39,ambient,19,1,0,0,0,0,NA,NA,NA,NA
2018,April,7,BOD,reg,40,ncc,0,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,41,cc,6,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,42,no,5,1,0,0,0,0,NA,NA,NA,NA
2018,April,7,BOD,reg,43,high,14,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,44,ambient,10,2,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,45,cc,6,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,46,ambient,3,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,47,high,7,1,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,48,cc,2,0,0,0,0,NA,NA,NA,NA,NA
2018,April,7,BOD,reg,49,no,1,0,0,0,0,0,NA,NA,NA,NA
2018,April,7,BOD,reg,50,ncc,2,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,26,no,12,2,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,27,high,17,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,28,ambient,19,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,29,ncc,13,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,30,cc,23,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,31,high,30,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,32,no,2,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,33,ambient,10,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,34,cc,19,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,35,ncc,15,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,36,high,31,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,37,no,1,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,38,ncc,16,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,39,ambient,26,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,40,ncc,1,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,41,cc,12,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,42,no,4,1,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,43,high,22,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,44,ambient,19,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,45,cc,8,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,46,ambient,5,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,47,high,8,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,48,cc,2,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,49,no,0,0,0,0,0,NA,NA,NA,NA,NA
2018,May,9,BOD,reg,50,cc,3,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,26,no,1,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,27,high,11,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,28,ambient,3,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,29,ncc,10,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,30,cc,13,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,31,high,15,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,32,no,5,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,33,ambient,8,1,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,34,cc,14,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,35,ncc,11,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,36,high,14,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,37,no,6,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,38,ncc,0,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,39,ambient,0,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,40,ncc,16,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,41,cc,14,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,42,no,7,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,43,high,6,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,44,ambient,10,0,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,45,cc,5,2,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,46,ambient,0,2,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,47,high,22,1,0,0,0,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,48,cc,destroyed,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,49,no,destroyed,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,June,20,BOD,reg,50,cc,destroyed,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,42,no,0,0,0,0,0,3,NA,3,NA,NA
2018,August,22,BOD,reg,26,no,1,1,0,0,0,4,NA,4,NA,NA
2018,August,22,BOD,reg,32,no,1,1,0,0,0,4,NA,4,NA,NA
2018,August,22,BOD,reg,37,no,0,0,0,0,0,5,NA,5,NA,NA
2018,August,22,BOD,reg,27,high,8,0,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,28,ambient,7,0,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,29,ncc,NA,0,0,0,1,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,30,cc,6,1,0,0,1,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,31,high,12,1,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,33,ambient,5,0,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,34,cc,3,0,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,35,ncc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,36,high,5,0,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,38,ncc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,39,ambient,10,4,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,40,ncc,4,1,0,0,1,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,41,cc,10,1,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,43,high,14,0,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,44,ambient,21,0,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,45,cc,5,1,0,0,0,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,46,ambient,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,47,high,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,48,cc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,49,no,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,August,22,BOD,reg,50,cc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,26,no,0,0,0,0,0,2,NA,2,NA,NA
2018,October,24,BOD,reg,42,no,2,0,0,0,0,2,NA,2,NA,NA
2018,October,24,BOD,reg,37,no,0,0,0,0,0,3,NA,3,NA,NA
2018,April,24,BOD,reg,26,no,9,1,0,0,0,0,NA,NA,NA,NA
2018,April,24,BOD,reg,27,high,17,1,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,28,ambient,14,1,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,29,ncc,11,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,30,cc,12,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,31,high,21,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,32,no,5,0,0,0,0,0,NA,NA,NA,NA
2018,April,24,BOD,reg,33,ambient,5,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,34,cc,11,1,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,35,ncc,10,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,36,high,10,1,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,37,no,0,0,0,0,0,0,NA,NA,NA,NA
2018,April,24,BOD,reg,38,ncc,6,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,39,ambient,17,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,40,ncc,2,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,41,cc,7,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,42,no,3,0,0,0,0,0,NA,NA,NA,NA
2018,April,24,BOD,reg,43,high,21,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,44,ambient,12,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,45,cc,5,2,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,46,ambient,4,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,47,high,8,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,48,cc,3,0,0,0,0,NA,NA,NA,NA,NA
2018,April,24,BOD,reg,49,no,0,0,0,0,0,0,NA,NA,NA,NA
2018,April,24,BOD,reg,50,cc,4,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,27,high,3,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,28,ambient,6,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,29,ncc,NA,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,30,cc,11,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,31,high,14,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,32,no,2,0,0,0,0,0,NA,NA,NA,NA
2018,October,24,BOD,reg,33,ambient,5,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,34,cc,11,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,35,ncc,9,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,36,high,12,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,38,ncc,14,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,39,ambient,20,2,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,40,ncc,3,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,41,cc,11,1,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,43,high,19,1,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,44,ambient,17,1,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,45,cc,8,0,0,0,0,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,46,ambient,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,47,high,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,48,cc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,49,no,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,October,24,BOD,reg,50,cc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,26,no,3,2,0,0,0,3,NA,3,NA,NA
2018,July,25,BOD,reg,37,no,2,3,0,0,0,4,NA,4,NA,NA
2018,July,25,BOD,reg,32,no,2,0,0,0,0,5,NA,5,NA,NA
2018,July,25,BOD,reg,42,no,3,6,0,0,0,6,NA,6,NA,NA
2018,July,25,BOD,reg,27,high,13,2,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,28,ambient,9,7,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,29,ncc,NA,2,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,30,cc,16,14,1,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,31,high,12,0,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,33,ambient,6,1,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,34,cc,7,1,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,35,ncc,4,0,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,36,high,6,2,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,38,ncc,3,0,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,39,ambient,16,0,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,40,ncc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,41,cc,10,7,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,43,high,15,2,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,44,ambient,12,3,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,45,cc,7,6,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,46,ambient,6,7,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,47,high,9,1,0,0,0,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,48,cc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,49,no,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2018,July,25,BOD,reg,50,ncc,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,32,no,1,1,0,0,0,1,NA,0,1,0
2019,June,5,BOD,reg,38,ncc,18,0,0,0,0,1,NA,1,0,0
2019,June,5,BOD,reg,26,no,8,1,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,27,high,13,1,0,0,1,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,28,ambient,13,1,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,29,ncc,9,0,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,30,cc,16,0,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,31,high,32,2,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,33,ambient,6,2,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,34,cc,10,1,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,35,ncc,9,1,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,36,high,36,0,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,37,no,1,1,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,39,ambient,12,0,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,40,ncc,2,1,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,41,cc,10,0,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,42,no,2,1,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,43,high,24,2,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,44,ambient,14,0,0,0,0,NA,NA,NA,NA,NA
2019,June,5,BOD,reg,45,cc,9,0,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,26,no,6,1,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,27,high,15,4,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,28,ambient,12,3,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,29,ncc,11,0,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,30,cc,18,6,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,31,high,23,2,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,32,no,2,1,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,33,ambient,5,2,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,34,cc,11,3,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,35,ncc,8,0,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,36,high,17,0,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,37,no,11,1,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,38,ncc,12,3,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,39,ambient,14,1,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,40,ncc,0,0,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,41,cc,9,6,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,42,no,3,0,0,0,1,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,43,high,22,1,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,44,ambient,9,8,0,0,0,NA,NA,NA,NA,NA
2019,May,8,BOD,reg,45,cc,19,2,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,26,no,7,2,0,0,0,1,NA,1,NA,NA
2019,July,10,BOD,reg,32,no,2,0,0,0,0,2,NA,2,NA,NA
2019,July,10,BOD,reg,42,no,4,1,0,0,0,2,NA,2,NA,NA
2019,July,10,BOD,reg,27,high,17,1,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,28,ambient,14,2,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,29,ncc,4,1,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,30,cc,14,3,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,31,high,13,1,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,33,ambient,5,3,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,34,cc,6,2,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,35,ncc,6,0,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,36,high,15,0,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,37,no,0,0,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,38,ncc,15,0,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,39,ambient,14,5,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,40,ncc,1,0,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,41,cc,8,6,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,43,high,22,0,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,44,ambient,20,0,0,0,0,NA,NA,NA,NA,NA
2019,July,10,BOD,reg,45,cc,8,0,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,32,no,0,0,0,0,0,1,NA,1,NA,NA
2019,April,12,BOD,reg,26,no,4,0,0,0,0,0,NA,NA,NA,NA
2019,April,12,BOD,reg,27,high,19,0,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,28,ambient,11,3,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,29,ncc,17,0,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,30,cc,21,2,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,31,high,18,1,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,33,ambient,4,0,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,34,cc,8,1,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,35,ncc,9,1,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,36,high,27,3,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,37,no,0,0,0,0,0,0,NA,NA,NA,NA
2019,April,12,BOD,reg,38,ncc,23,2,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,39,ambient,25,10,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,40,ncc,0,0,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,41,cc,9,3,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,42,no,3,0,0,0,0,0,NA,NA,NA,NA
2019,April,12,BOD,reg,43,high,22,1,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,44,ambient,18,1,0,0,0,NA,NA,NA,NA,NA
2019,April,12,BOD,reg,45,cc,5,1,0,0,0,NA,NA,NA,NA,NA
2019,August,14,BOD,reg,26,no,2,1,0,0,0,NA,NA,NA,NA,NA
2019,August,14,BOD,reg,27,high,11,0,0,0,0,NA,NA,NA,NA,NA
2019,August,14,BOD,reg,28,ambient,11,0,0,0,0,NA,NA,NA,NA,NA
2019,August,14,BOD,reg,29,ncc,NA,0,0,0,0,NA,NA,NA,NA,NA
2019,August,14,BOD,reg,30,cc,16,0,0,0,0,NA,NA,NA,NA,NA
2019,August,14,BOD,reg,31,high,12,0,0,0,0,NA,NA,NA,NA,NA
2019,August,14,BOD,reg,32,no,0,0,0,0,0,NA,NA,NA,NA,NA
