Sample.ID,Year,Month,Marsh,Cage,Treatment,Plant,Amount.mg,TotalC.ug,TotalN.ug,ratio
BOL-4-P-2019-1,2019,September,BOL,4,ambient,Pickleweed,10.3,2751.86,149.11,18.45478859
BOL-4-P-2019-2,2019,September,BOL,4,ambient,Pickleweed,6,1681.77,83.16,20.22422963
BOL-4-P-2019-3,2019,September,BOL,4,ambient,Pickleweed,7.3,1935.47,105.7,18.31180742
BOL-8-P-2019-1,2019,September,BOL,8,ambient,Pickleweed,10.5,3130.87,140.9,22.22034485
BOL-8-P-2019-2,2019,September,BOL,8,ambient,Pickleweed,7.8,2299.03,95.33,24.11574982
BOL-8-P-2019-3,2019,September,BOL,8,ambient,Pickleweed,10.4,3088.26,128.2,24.089377
BOL-10-P-2019-1,2019,September,BOL,10,ambient,Pickleweed,8.6,2544.41,131.47,19.35398428
BOL-10-P-2019-2,2019,September,BOL,10,ambient,Pickleweed,6.1,1824.77,91.97,19.84100955
BOL-10-P-2019-3,2019,September,BOL,10,ambient,Pickleweed,9.3,2693.02,136.75,19.69245307
BOL-12-P-2019-1,2019,September,BOL,12,no,Pickleweed,11.8,3305.79,142,23.28036353
BOL-12-P-2019-2,2019,September,BOL,12,no,Pickleweed,8.4,2213.71,111.65,19.82687211
BOL-12-P-2019-3,2019,September,BOL,12,no,Pickleweed,8.7,2177.95,109.66,19.86172172
BOL-14-P-2019-1,2019,September,BOL,14,no,Pickleweed,6.1,1601.87,85.24,18.7934783
BOL-14-P-2019-2,2019,September,BOL,14,no,Pickleweed,7.9,1995.28,104.95,19.01251108
BOL-14-P-2019-3,2019,September,BOL,14,no,Pickleweed,9.7,2673.82,130.12,20.54919885
BOL-16-P-2019-1,2019,September,BOL,16,no,Pickleweed,8.4,2201.15,106.34,20.69962321
BOL-16-P-2019-2,2019,September,BOL,16,no,Pickleweed,8.4,1996.57,104.66,19.07674276
BOL-16-P-2019-3,2019,September,BOL,16,no,Pickleweed,5.7,1265.06,74.18,17.05333269
BOL-17-P-2019-1,2019,September,BOL,17,ambient,Pickleweed,9.4,2157.32,130.33,16.55258536
BOL-17-P-2019-2,2019,September,BOL,17,ambient,Pickleweed,10,2353.39,145.79,16.14254579
BOL-17-P-2019-3,2019,September,BOL,17,ambient,Pickleweed,3.9,910.59,54.82,16.61171226
BOL-21-P-2019-1,2019,September,BOL,21,ambient,Pickleweed,5.3,1408.91,80.14,17.57993176
BOL-21-P-2019-2,2019,September,BOL,21,ambient,Pickleweed,9.1,2613.95,125.85,20.76958645
BOL-21-P-2019-3,2019,September,BOL,21,ambient,Pickleweed,8.8,2603.06,117.46,22.16137548
BOL-23-P-2019-1,2019,September,BOL,23,no,Pickleweed,10,2506.57,117.74,21.28827633
BOL-23-P-2019-2,2019,September,BOL,23,no,Pickleweed,5.4,1275.84,63.43,20.11444414
BOL-23-P-2019-3,2019,September,BOL,23,no,Pickleweed,6.8,1725.25,84.73,20.36085965
TOM-51-P-2019-1,2019,September,TOM,51,ambient,Pickleweed,10.7,2255.58,100.45,22.45576094
TOM-51-P-2019-2,2019,September,TOM,51,ambient,Pickleweed,8,1952.29,78.78,24.78175784
TOM-51-P-2019-3,2019,September,TOM,51,ambient,Pickleweed,6.9,1490.32,70.91,21.01638532
TOM-55-P-2019-1,2019,September,TOM,55,no,Pickleweed,9.9,3410.34,107.12,31.83581516
TOM-55-P-2019-2,2019,September,TOM,55,no,Pickleweed,5.9,1981.06,68.5,28.91926533
TOM-55-P-2019-3,2019,September,TOM,55,no,Pickleweed,4.1,1285.3,47.56,27.02451311
TOM-59-P-2019-1,2019,September,TOM,59,no,Pickleweed,6.8,2226.28,71.27,31.2363962
TOM-59-P-2019-2,2019,September,TOM,59,no,Pickleweed,7.8,2434.04,80.65,30.18200205
TOM-59-P-2019-3,2019,September,TOM,59,no,Pickleweed,5,1325.77,46.55,28.48103473
TOM-60-P-2019-1,2019,September,TOM,60,ambient,Pickleweed,6.6,1796.91,76.98,23.34121739
TOM-60-P-2019-2,2019,September,TOM,60,ambient,Pickleweed,6.9,1976.21,89.71,22.02789111
TOM-60-P-2019-3,2019,September,TOM,60,ambient,Pickleweed,6.5,1855.86,76.23,24.34550219
TOM-63-P-2019-1,2019,September,TOM,63,no,Pickleweed,7,1204.96,64.26,18.75223146
TOM-63-P-2019-2,2019,September,TOM,63,no,Pickleweed,7.7,1738.87,78.85,22.05266086
TOM-63-P-2019-3,2019,September,TOM,63,no,Pickleweed,10.9,2006.59,104.34,19.23149396
TOM-64-P-2019-1,2019,September,TOM,64,ambient,Pickleweed,10.5,2893.32,120.02,24.10650179
TOM-64-P-2019-2,2019,September,TOM,64,ambient,Pickleweed,4.9,1411.51,57.84,24.40172217
TOM-64-P-2019-3,2019,September,TOM,64,ambient,Pickleweed,5,1400.11,61.3,22.83873442
TOM-66-P-2019-1,2019,September,TOM,66,no,Pickleweed,5.4,1244.82,63.75,19.52564341
TOM-66-P-2019-2,2019,September,TOM,66,no,Pickleweed,4.8,1090.17,57.16,19.07230871
TOM-66-P-2019-3,2019,September,TOM,66,no,Pickleweed,5.9,1252.33,58.6,21.37015822
TOM-67-P-2019-1,2019,September,TOM,67,ambient,Pickleweed,6,1198.75,65.7,18.246757
TOM-67-P-2019-2,2019,September,TOM,67,ambient,Pickleweed,4.8,1410.86,56.01,25.19122077
TOM-67-P-2019-3,2019,September,TOM,67,ambient,Pickleweed,4.5,1310.43,59.11,22.17078293
TOM-71-P-2019-1,2019,September,TOM,71,ambient,Pickleweed,7.6,1729.79,85.88,20.1418032
TOM-71-P-2019-2,2019,September,TOM,71,ambient,Pickleweed,5.6,1108.5,63.93,17.33843334
TOM-71-P-2019-3,2019,September,TOM,71,ambient,Pickleweed,4.6,1101.3,59.94,18.3748474
TOM-75-P-2019-1,2019,September,TOM,75,no,Pickleweed,4.9,895.82,52.62,17.02586855
TOM-75-P-2019-2,2019,September,TOM,75,no,Pickleweed,3,563.59,32.88,17.14271401
TOM-75-P-2019-3,2019,September,TOM,75,no,Pickleweed,4.2,800.26,41.89,19.10549289
TOM-51-CL-2019-1,2019,September,TOM,51,ambient,Cordgrass,4.6,1203,47.56,25.29373781
TOM-51-CL-2019-2,2019,September,TOM,51,ambient,Cordgrass,4.3,1515.07,61.68,24.56411401
TOM-51-CL-2019-3,2019,September,TOM,51,ambient,Cordgrass,3.3,1201.38,52.7,22.79850318
TOM-55-CL-2019-1,2019,September,TOM,55,no,Cordgrass,3,1053.18,41.07,25.64342569
TOM-55-CL-2019-2,2019,September,TOM,55,no,Cordgrass,3.7,1213.03,52.2,23.23972679
TOM-55-CL-2019-3,2019,September,TOM,55,no,Cordgrass,4.2,1374.88,52.3,26.28651336
TOM-59-CL-2019-1,2019,September,TOM,59,no,Cordgrass,7.4,2453.69,98.71,24.85676588
TOM-59-CL-2019-2,2019,September,TOM,59,no,Cordgrass,4.8,1773.87,70.27,25.24519854
TOM-59-CL-2019-3,2019,September,TOM,59,no,Cordgrass,5.4,1588.59,68.63,23.14818187
TOM-60-CL-2019-1,2019,September,TOM,60,ambient,Cordgrass,6.6,2234.77,85.37,26.17868126
TOM-60-CL-2019-2,2019,September,TOM,60,ambient,Cordgrass,7.6,2479.64,98.89,25.07447956
TOM-60-CL-2019-3,2019,September,TOM,60,ambient,Cordgrass,6.3,2287.63,80.88,28.28433298
TOM-63-CL-2019-1,2019,September,TOM,63,no,Cordgrass,4.3,1468.77,57.15,25.69943726
TOM-63-CL-2019-2,2019,September,TOM,63,no,Cordgrass,6.3,1916.76,77.07,24.87071481
TOM-63-CL-2019-3,2019,September,TOM,63,no,Cordgrass,3.5,1182.61,44.46,26.60031189
TOM-64-CL-2019-1,2019,September,TOM,64,ambient,Cordgrass,8.1,2878.82,123.75,23.26320821
TOM-64-CL-2019-2,2019,September,TOM,64,ambient,Cordgrass,5.4,1883.39,82.8,22.74553087
TOM-64-CL-2019-3,2019,September,TOM,64,ambient,Cordgrass,5.6,1984.5,86.75,22.87488529
TOM-66-CL-2019-1,2019,September,TOM,66,no,Cordgrass,4.2,1408.55,60.25,23.37730582
TOM-66-CL-2019-2,2019,September,TOM,66,no,Cordgrass,4.9,1634.9,64.81,25.22438455
TOM-66-CL-2019-3,2019,September,TOM,66,no,Cordgrass,3.8,1350.6,55.55,24.31419438
TOM-67-CL-2019-1,2019,September,TOM,67,ambient,Cordgrass,5.7,1730.13,97.01,17.8354804
TOM-67-CL-2019-2,2019,September,TOM,67,ambient,Cordgrass,5.9,1974.45,91.56,21.56454914
TOM-67-CL-2019-3,2019,September,TOM,67,ambient,Cordgrass,5.1,1758,77.32,22.7370756
TOM-71-CL-2019-1,2019,September,TOM,71,ambient,Cordgrass,3.4,1174.52,50.63,23.19916829
TOM-71-CL-2019-2,2019,September,TOM,71,ambient,Cordgrass,6.3,2092.44,87.5,23.91300844
TOM-71-CL-2019-3,2019,September,TOM,71,ambient,Cordgrass,6,1897,86.83,21.84833574
TOM-75-CL-2019-1,2019,September,TOM,75,no,Cordgrass,7.2,2413.79,95.76,25.20676719
TOM-75-CL-2019-2,2019,September,TOM,75,no,Cordgrass,4.6,1515.4,65.63,23.0886455
TOM-75-CL-2019-3,2019,September,TOM,75,no,Cordgrass,6,1938.48,95.51,20.29594232
BOD-26-CL-2019-1,2019,September,BOD,26,no,Cordgrass,9.9,3493.1,193.81,18.02334873
BOD-26-CL-2019-2,2019,September,BOD,26,no,Cordgrass,8.3,2808.37,144.5,19.43529754
BOD-26-CL-2019-3,2019,September,BOD,26,no,Cordgrass,7.7,2600.34,146.38,17.76421167
BOD-28-CL-2019-1,2019,September,BOD,28,ambient,Cordgrass,6.7,2245.15,134.8,16.65519119
BOD-28-CL-2019-2,2019,September,BOD,28,ambient,Cordgrass,4.9,1730.13,94.34,18.34009488
BOD-28-CL-2019-3,2019,September,BOD,28,ambient,Cordgrass,8.6,2790.85,153.09,18.22995416
BOD-32-CL-2019-1,2019,September,BOD,32,no,Cordgrass,7.4,2671.73,158.06,16.90319671
BOD-32-CL-2019-2,2019,September,BOD,32,no,Cordgrass,8,2439.09,143.79,16.96308329
BOD-32-CL-2019-3,2019,September,BOD,32,no,Cordgrass,8.1,3169.79,181.9,17.42606976
BOD-33-CL-2019-1,2019,September,BOD,33,ambient,Cordgrass,4.5,1661.14,91.84,18.08634444
BOD-33-CL-2019-2,2019,September,BOD,33,ambient,Cordgrass,4.8,1558.47,91.7,16.99482602
BOD-33-CL-2019-3,2019,September,BOD,33,ambient,Cordgrass,6,2039.6,119.84,17.0194079
BOD-37-CL-2019-1,2019,September,BOD,37,no,Cordgrass,5,1694.82,96.83,17.50358689
BOD-37-CL-2019-2,2019,September,BOD,37,no,Cordgrass,5.5,1933.29,108.89,17.75493485
BOD-37-CL-2019-3,2019,September,BOD,37,no,Cordgrass,4.3,1475.24,80.42,18.34499559
BOD-39-CL-2019-1,2019,September,BOD,39,ambient,Cordgrass,5.6,1528.03,88.5,17.26605726
BOD-39-CL-2019-2,2019,September,BOD,39,ambient,Cordgrass,8.5,2580.87,151.28,17.06014833
BOD-39-CL-2019-3,2019,September,BOD,39,ambient,Cordgrass,7.9,2472.18,130.64,18.92297512
BOD-42-CL-2019-1,2019,September,BOD,42,no,Cordgrass,12.3,4039.42,236.19,17.10243623
BOD-42-CL-2019-2,2019,September,BOD,42,no,Cordgrass,7.8,2711.32,145.53,18.63088089
BOD-42-CL-2019-3,2019,September,BOD,42,no,Cordgrass,7.3,2400.17,131.5,18.25261233
BOD-44-CL-2019-1,2019,September,BOD,44,ambient,Cordgrass,6.1,2187.11,136.26,16.05118669
BOD-44-CL-2019-2,2019,September,BOD,44,ambient,Cordgrass,6,2062.94,106.29,19.40839599
BOD-44-CL-2019-3,2019,September,BOD,44,ambient,Cordgrass,9.4,2933.69,193.88,15.13144104
BOD-26-P-2019-1,2019,September,BOD,26,no,Pickleweed,8.7,2571.14,142.62,18.02833441
BOD-26-P-2019-2,2019,September,BOD,26,no,Pickleweed,7.6,2508.84,134.27,18.68523439
BOD-26-P-2019-3,2019,September,BOD,26,no,Pickleweed,8.5,2651.93,140.66,18.85311365
BOD-28-P-2019-1,2019,September,BOD,28,ambient,Pickleweed,6.9,1853.25,107.25,17.27949551
BOD-28-P-2019-2,2019,September,BOD,28,ambient,Pickleweed,7.9,2156.3,131.32,16.4202748
BOD-28-P-2019-3,2019,September,BOD,28,ambient,Pickleweed,8.1,1882.74,121.12,15.54447697
BOD-32-P-2019-1,2019,September,BOD,32,no,Pickleweed,8,1943.01,112.98,17.19825235
BOD-32-P-2019-2,2019,September,BOD,32,no,Pickleweed,8.6,2709.38,146.84,18.45091843
BOD-32-P-2019-3,2019,September,BOD,32,no,Pickleweed,8.2,2380.71,124.57,19.11180447
BOD-33-P-2019-1,2019,September,BOD,33,ambient,Pickleweed,8.6,2538.37,142.51,17.81186316
BOD-33-P-2019-2,2019,September,BOD,33,ambient,Pickleweed,8.5,2567.89,139.85,18.36228
BOD-33-P-2019-3,2019,September,BOD,33,ambient,Pickleweed,12.6,3645.88,181.37,20.10218174
BOD-37-P-2019-1,2019,September,BOD,37,no,Pickleweed,6.5,2040.9,93.8,21.75741931
BOD-37-P-2019-2,2019,September,BOD,37,no,Pickleweed,6.7,2283.41,94.3,24.2141784
BOD-37-P-2019-3,2019,September,BOD,37,no,Pickleweed,6.4,2195.86,107.11,20.50113658
BOD-39-P-2019-1,2019,September,BOD,39,ambient,Pickleweed,11.8,2093.73,134.59,15.55657355
BOD-39-P-2019-2,2019,September,BOD,39,ambient,Pickleweed,6.7,1510.54,104.73,14.4237464
BOD-39-P-2019-3,2019,September,BOD,39,ambient,Pickleweed,9.5,1465.53,96.65,15.16337789
BOD-42-P-2019-1,2019,September,BOD,42,no,Pickleweed,11,3860.5,125.85,30.67619767
BOD-42-P-2019-2,2019,September,BOD,42,no,Pickleweed,11.5,4283.5,145.74,29.39107478
BOD-42-P-2019-3,2019,September,BOD,42,no,Pickleweed,5.8,1976.72,83.84,23.57868417
BOD-44-P-2019-1,2019,September,BOD,44,ambient,Pickleweed,8.7,2413.79,141.76,17.02683916
BOD-44-P-2019-2,2019,September,BOD,44,ambient,Pickleweed,10.8,3363.1,198.63,16.93160545
BOD-44-P-2019-3,2019,September,BOD,44,ambient,Pickleweed,7.1,1728.51,101.84,16.97213492
,2018,October,SDL,31,ambient,Cordgrass,3.9,1373.42,34.27,40.07130456
,2018,October,SDL,31,ambient,Cordgrass,2.6,NA,NA,NA
,2018,October,SDL,31,ambient,Cordgrass,5.3,1780.07,42.04,42.34170563
,2018,October,SDL,32,removal,Cordgrass,4.1,1561.45,37.81,41.29469759
,2018,October,SDL,32,removal,Cordgrass,4.9,1894.75,47.89,39.56433904
,2018,October,SDL,32,removal,Cordgrass,6.3,2338.03,59.05,39.59592331
,2018,October,SDL,33,removal,Cordgrass,8.7,2954.67,85.53,34.54529357
,2018,October,SDL,33,removal,Cordgrass,5.1,1780.07,53.13,33.50540339
,2018,October,SDL,33,removal,Cordgrass,3.5,1110.1,32.25,34.42523277
,2018,October,SDL,34,ambient,Cordgrass,4.5,1764.55,45.21,39.03171946
,2018,October,SDL,34,ambient,Cordgrass,4.1,1607.84,40.5,39.69875521
,2018,October,SDL,34,ambient,Cordgrass,6.2,2180.82,51.65,42.21989882
,2018,October,SDL,35,ambient,Cordgrass,5.1,1938.06,42.89,45.19144114
,2018,October,SDL,35,ambient,Cordgrass,6,2223.06,54.54,40.75930395
,2018,October,SDL,35,ambient,Cordgrass,6.9,2578.77,62.98,40.9477116
,2018,October,SDL,36,removal,Cordgrass,6.3,2456.1,79.84,30.76262088
,2018,October,SDL,36,removal,Cordgrass,7.5,2867.17,79.27,36.1679518
,2018,October,SDL,36,removal,Cordgrass,5.9,2271.38,62.95,36.08401297
,2018,October,SDL,37,ambient,Cordgrass,6.2,2322.72,58.66,39.59835862
,2018,October,SDL,37,ambient,Cordgrass,7.7,2924.52,75.93,38.51513656
,2018,October,SDL,37,ambient,Cordgrass,8.3,3067.9,79.78,38.45419026
,2018,October,SDL,38,removal,Cordgrass,3.5,1368.33,38.39,35.64602988
,2018,October,SDL,38,removal,Cordgrass,8.5,3066.78,93.59,32.76976986
,2018,October,SDL,38,removal,Cordgrass,7.4,2554.8,77.78,32.84551135
,2018,October,SDL,39,ambient,Cordgrass,8.3,2887.32,81.71,35.33674362
,2018,October,SDL,39,ambient,Cordgrass,7.6,2714.58,76.57,35.45452303
,2018,October,SDL,39,ambient,Cordgrass,7.3,2586.64,77.07,33.56443354
,2018,October,SDL,40,removal,Cordgrass,6.1,2261.42,66.11,34.20841844
,2018,October,SDL,40,removal,Cordgrass,5.2,2051.39,57.98,35.37836879
,2018,October,SDL,40,removal,Cordgrass,3.3,1193.83,32.64,36.57888631
,2018,October,SDL,LL,ncc,Cordgrass,4.9,1761.3,50.73,34.71813065
,2018,October,SDL,LL,ncc,Cordgrass,5.3,1915.56,59.99,31.92890207
,2018,October,SDL,LL,ncc,Cordgrass,5.9,2172.37,58.87,36.90040981
,2018,October,SDL,MM,ncc,Cordgrass,5.1,1777.67,51.86,34.28002676
,2018,October,SDL,MM,ncc,Cordgrass,5.6,2177.64,56.3,38.68050718
,2018,October,SDL,MM,ncc,Cordgrass,6.8,2605.96,70.68,36.87127764
,2018,October,SDL,NN,ncc,Cordgrass,4.7,1853.71,45.51,40.73039225
,2018,October,SDL,NN,ncc,Cordgrass,5.9,2306.42,52.48,43.94910822
,2018,October,SDL,NN,ncc,Cordgrass,4.7,1723.96,40.82,42.23382173
,2018,October,SDL,OO,ncc,Cordgrass,5.4,1704.51,61.06,27.91601473
,2018,October,SDL,OO,ncc,Cordgrass,4.9,1770.05,58.43,30.29474118
,2018,October,SDL,OO,ncc,Cordgrass,7.6,2572.52,89.83,28.63628369
,2018,October,SDL,PP,ncc,Cordgrass,8.4,3022.49,75.36,40.10803289
,2018,October,SDL,PP,ncc,Cordgrass,4.8,1806.96,46.88,38.54717731
,2018,October,SDL,PP,ncc,Cordgrass,4.4,1678.18,41.18,40.75627626
,2018,October,SDL,31,ambient,Pickleweed,6.7,2472.75,62.74,39.41132987
,2018,October,SDL,31,ambient,Pickleweed,6.8,2511.13,57.69,43.52918316
,2018,October,SDL,31,ambient,Pickleweed,5.2,1926.93,41.74,46.1645871
,2018,October,SDL,32,removal,Pickleweed,4.3,1405.31,29.87,47.05413778
,2018,October,SDL,32,removal,Pickleweed,6.5,1896.98,49.28,38.49474779
,2018,October,SDL,32,removal,Pickleweed,6.7,1844.59,49.63,37.16343225
,2018,October,SDL,33,removal,Pickleweed,3.4,841.02,23.31,36.08446767
,2018,October,SDL,33,removal,Pickleweed,7.6,1749.87,49.13,35.61664193
,2018,October,SDL,33,removal,Pickleweed,9.6,2229.14,59.61,37.39514416
,2018,October,SDL,34,ambient,Pickleweed,4.3,1457.98,32.25,45.20881172
,2018,October,SDL,34,ambient,Pickleweed,5.5,1741.11,34.25,50.84219129
,2018,October,SDL,34,ambient,Pickleweed,8.5,2841.27,57.72,49.22668449
,2018,October,SDL,35,ambient,Pickleweed,3.4,1294.32,28.38,45.60079373
,2018,October,SDL,35,ambient,Pickleweed,3.2,1059.26,23.71,44.66970594
,2018,October,SDL,35,ambient,Pickleweed,3.5,NA,NA,NA
,2018,October,SDL,37,ambient,Pickleweed,4.6,1461.82,36.3,40.27144508
,2018,October,SDL,37,ambient,Pickleweed,2.6,NA,NA,NA
,2018,October,SDL,37,ambient,Pickleweed,3.3,NA,NA,NA
,2018,October,SDL,38,removal,Pickleweed,6.3,2199.83,51.09,43.06049575
,2018,October,SDL,38,removal,Pickleweed,5.8,1987.89,53.1,37.43587414
,2018,October,SDL,38,removal,Pickleweed,6.2,2250.54,57.22,39.3346078
,2018,October,SDL,39,ambient,Pickleweed,3.9,1316.32,28.45,46.26868946
,2018,October,SDL,39,ambient,Pickleweed,5.1,1637.69,41.71,39.26298304
,2018,October,SDL,39,ambient,Pickleweed,7.4,2186.29,56.33,38.81376962
,2018,October,SDL,40,removal,Pickleweed,3.4,1318.63,25.04,52.66322714
,2018,October,SDL,40,removal,Pickleweed,6,2225.01,40.64,54.74778847
,2018,October,SDL,40,removal,Pickleweed,5.6,2250.16,36.48,61.68600465
,2018,October,SDL,LL,ncc,Pickleweed,2.4,NA,NA,NA
,2018,October,SDL,LL,ncc,Pickleweed,3.2,894.15,25.53,35.02135479
,2018,October,SDL,LL,ncc,Pickleweed,10.8,2942.12,89.95,32.70780262
,2018,October,SDL,MM,ncc,Pickleweed,3.1,983.03,29.6,33.21337052
,2018,October,SDL,MM,ncc,Pickleweed,4.3,1218.21,37.1,32.83353921
,2018,October,SDL,MM,ncc,Pickleweed,4.6,1297.8,36.48,35.57783705
,2018,October,SDL,NN,ncc,Pickleweed,4.2,1191.12,37.25,31.97530766
,2018,October,SDL,NN,ncc,Pickleweed,4.3,1274.63,37.55,33.9461315
,2018,October,SDL,NN,ncc,Pickleweed,4.5,1390.68,44,31.6080371
,2018,October,SDL,OO,ncc,Pickleweed,5,1601.36,42.9,37.32864873
,2018,October,SDL,OO,ncc,Pickleweed,6.1,1904.57,52.3,36.41504888
,2018,October,SDL,OO,ncc,Pickleweed,5.3,1704.13,44.56,38.24178927
,2018,October,SDL,PP,ncc,Pickleweed,8.5,2149.42,58.49,36.75038427
,2018,October,SDL,PP,ncc,Pickleweed,6.2,1672.45,44.44,37.63125712
,2018,October,SDL,PP,ncc,Pickleweed,6.6,1612.46,44.24,36.45177645
,2018,October,KF1,1,ambient,Cordgrass,2.1,693.35,27.75,24.98980225
,2018,October,KF1,1,ambient,Cordgrass,5.5,1747.58,69.7,25.07124683
,2018,October,KF1,1,ambient,Cordgrass,4.3,1557.72,59.61,26.13170541
,2018,October,KF1,2,ambient,Cordgrass,9,2552.82,101.53,25.14243124
,2018,October,KF1,2,ambient,Cordgrass,6.5,2220.12,85.58,25.94109257
,2018,October,KF1,2,ambient,Cordgrass,5.1,1524.38,69.59,21.90610437
,2018,October,KF1,3,removal,Cordgrass,5.7,2073.66,97.24,21.32533209
,2018,October,KF1,3,removal,Cordgrass,5.5,1926.17,85.03,22.65400889
,2018,October,KF1,3,removal,Cordgrass,4.4,1670.16,72.86,22.92385643
,2018,October,KF1,4,ambient,Cordgrass,5.9,1927.31,90.1,21.39126996
,2018,October,KF1,4,ambient,Cordgrass,5.3,1643.04,79.03,20.78878877
,2018,October,KF1,4,ambient,Cordgrass,7.5,2632.68,139.16,18.91779241
,2018,October,KF1,5,removal,Cordgrass,7.7,2867.06,101.36,28.28623407
,2018,October,KF1,5,removal,Cordgrass,6.2,2285.8,90.77,25.18186382
,2018,October,KF1,5,removal,Cordgrass,6.3,2442.16,94.84,25.75011188
,2018,October,KF1,6,removal,Cordgrass,6,2129.46,89.66,23.75074321
,2018,October,KF1,6,removal,Cordgrass,4.5,1652.59,64.84,25.48788814
,2018,October,KF1,6,removal,Cordgrass,5,1879.15,73.53,25.55479833
,2018,October,KF1,7,ambient,Cordgrass,4.5,1658.7,73.86,22.45804653
,2018,October,KF1,7,ambient,Cordgrass,8.1,2868.9,129.51,22.15250887
,2018,October,KF1,7,ambient,Cordgrass,6.7,2473.87,119.71,20.66634551
,2018,October,KF1,8,ambient,Cordgrass,4.9,1810.01,60.47,29.93358138
,2018,October,KF1,8,ambient,Cordgrass,3.4,1271.93,44.56,28.54302451
,2018,October,KF1,8,ambient,Cordgrass,3.1,1177.57,41.86,28.13159411
,2018,October,KF1,9,removal,Cordgrass,4.5,1609.03,71.32,22.56028069
,2018,October,KF1,9,removal,Cordgrass,7.5,2585.39,103.23,25.04571321
,2018,October,KF1,9,removal,Cordgrass,7.8,2772.66,110.99,24.98212402
,2018,October,KF1,10,removal,Cordgrass,5.2,1759.95,70.81,24.85464174
,2018,October,KF1,10,removal,Cordgrass,6.8,2371.78,98.49,24.08143076
,2018,October,KF1,10,removal,Cordgrass,8.2,2905.07,115.94,25.05686983
,2018,October,KF1,N,ncc,Cordgrass,6.3,2129.44,92.13,23.11283619
,2018,October,KF1,N,ncc,Cordgrass,2.7,1036.44,48.27,21.47098417
